id,value,location,sample date,measure,isToxic
2221,2,Boonsri,11-Jan-98,Water temperature,0
2238,4.95,Boonsri,11-Jan-98,Iron,0
2243,0,Boonsri,11-Jan-98,Lead,1
2245,0,Boonsri,11-Jan-98,Mercury,1
2247,0,Boonsri,11-Jan-98,Arsenic,1
8291,1,Kannika,26-Jan-98,Water temperature,0
8308,0.1,Kannika,26-Jan-98,Iron,0
8313,0,Kannika,26-Jan-98,Lead,1
8315,0,Kannika,26-Jan-98,Mercury,1
8317,0,Kannika,26-Jan-98,Arsenic,1
8772,1,Kannika,26-Jan-98,Water temperature,0
8789,0.1,Kannika,26-Jan-98,Iron,0
8794,0,Kannika,26-Jan-98,Lead,1
8796,0,Kannika,26-Jan-98,Mercury,1
8798,0,Kannika,26-Jan-98,Arsenic,1
9255,1,Kannika,26-Jan-98,Water temperature,0
9272,0.11,Kannika,26-Jan-98,Iron,0
9277,0,Kannika,26-Jan-98,Lead,1
9279,0,Kannika,26-Jan-98,Mercury,1
9281,0,Kannika,26-Jan-98,Arsenic,1
5049,2,Chai,31-Jan-98,Water temperature,0
5065,0.06,Chai,31-Jan-98,Iron,0
5070,0,Chai,31-Jan-98,Lead,1
5072,0,Chai,31-Jan-98,Mercury,1
5074,0,Chai,31-Jan-98,Arsenic,1
5533,2,Chai,31-Jan-98,Water temperature,0
5549,0.04,Chai,31-Jan-98,Iron,0
5554,0,Chai,31-Jan-98,Lead,1
5556,0,Chai,31-Jan-98,Mercury,1
5558,0,Chai,31-Jan-98,Arsenic,1
6011,2,Chai,31-Jan-98,Water temperature,0
6027,0.07,Chai,31-Jan-98,Iron,0
6032,0,Chai,31-Jan-98,Lead,1
6034,0,Chai,31-Jan-98,Mercury,1
6036,0,Chai,31-Jan-98,Arsenic,1
2261,5,Boonsri,15-Feb-98,Water temperature,0
2278,2.84,Boonsri,15-Feb-98,Iron,0
2283,0,Boonsri,15-Feb-98,Lead,1
2285,0,Boonsri,15-Feb-98,Mercury,1
2287,0,Boonsri,15-Feb-98,Arsenic,1
5088,4,Chai,20-Feb-98,Water temperature,0
5104,0.1,Chai,20-Feb-98,Iron,0
5109,0,Chai,20-Feb-98,Lead,1
5111,0,Chai,20-Feb-98,Mercury,1
5113,0,Chai,20-Feb-98,Arsenic,1
5572,4,Chai,20-Feb-98,Water temperature,0
5588,0.1,Chai,20-Feb-98,Iron,0
5593,0,Chai,20-Feb-98,Lead,1
5595,0,Chai,20-Feb-98,Mercury,1
5597,0,Chai,20-Feb-98,Arsenic,1
6050,4,Chai,20-Feb-98,Water temperature,0
6066,0.11,Chai,20-Feb-98,Iron,0
6071,0,Chai,20-Feb-98,Lead,1
6073,0,Chai,20-Feb-98,Mercury,1
6075,0,Chai,20-Feb-98,Arsenic,1
8331,5,Kannika,24-Feb-98,Water temperature,0
8348,0.8,Kannika,24-Feb-98,Iron,0
8353,0,Kannika,24-Feb-98,Lead,1
8355,0,Kannika,24-Feb-98,Mercury,1
8357,0,Kannika,24-Feb-98,Arsenic,1
8812,5,Kannika,24-Feb-98,Water temperature,0
8829,0.08,Kannika,24-Feb-98,Iron,0
8834,0,Kannika,24-Feb-98,Lead,1
8836,0,Kannika,24-Feb-98,Mercury,1
8838,0,Kannika,24-Feb-98,Arsenic,1
9295,5,Kannika,24-Feb-98,Water temperature,0
9312,0.07,Kannika,24-Feb-98,Iron,0
9317,0,Kannika,24-Feb-98,Lead,1
9319,0,Kannika,24-Feb-98,Mercury,1
9321,0,Kannika,24-Feb-98,Arsenic,1
2301,2,Boonsri,12-Mar-98,Water temperature,0
2318,4.57,Boonsri,12-Mar-98,Iron,0
2323,0,Boonsri,12-Mar-98,Lead,1
2325,0,Boonsri,12-Mar-98,Mercury,1
2327,0,Boonsri,12-Mar-98,Arsenic,1
5127,4,Chai,19-Mar-98,Water temperature,0
5143,0.11,Chai,19-Mar-98,Iron,0
5148,0,Chai,19-Mar-98,Lead,1
5150,0,Chai,19-Mar-98,Mercury,1
5152,0,Chai,19-Mar-98,Arsenic,1
5611,4,Chai,19-Mar-98,Water temperature,0
5627,0.09,Chai,19-Mar-98,Iron,0
5632,0,Chai,19-Mar-98,Lead,1
5634,0,Chai,19-Mar-98,Mercury,1
5636,0,Chai,19-Mar-98,Arsenic,1
6089,4,Chai,19-Mar-98,Water temperature,0
6105,0.11,Chai,19-Mar-98,Iron,0
6110,0,Chai,19-Mar-98,Lead,1
6112,0,Chai,19-Mar-98,Mercury,1
6114,0,Chai,19-Mar-98,Arsenic,1
8371,3,Kannika,21-Mar-98,Water temperature,0
8388,0.1,Kannika,21-Mar-98,Iron,0
8393,10,Kannika,21-Mar-98,Lead,1
8395,0,Kannika,21-Mar-98,Mercury,1
8397,0,Kannika,21-Mar-98,Arsenic,1
8852,3,Kannika,21-Mar-98,Water temperature,0
8869,0.1,Kannika,21-Mar-98,Iron,0
8874,10,Kannika,21-Mar-98,Lead,1
8876,0,Kannika,21-Mar-98,Mercury,1
8878,0,Kannika,21-Mar-98,Arsenic,1
9335,3,Kannika,21-Mar-98,Water temperature,0
9352,0.1,Kannika,21-Mar-98,Iron,0
9357,10,Kannika,21-Mar-98,Lead,1
9359,0,Kannika,21-Mar-98,Mercury,1
9361,0,Kannika,21-Mar-98,Arsenic,1
2341,8,Boonsri,11-Apr-98,Water temperature,0
2358,0.85,Boonsri,11-Apr-98,Iron,0
2363,20,Boonsri,11-Apr-98,Lead,1
2365,0,Boonsri,11-Apr-98,Mercury,1
2367,0,Boonsri,11-Apr-98,Arsenic,1
2704,7,Boonsri,11-Apr-98,Water temperature,0
2721,1.24,Boonsri,11-Apr-98,Iron,0
2726,35,Boonsri,11-Apr-98,Lead,1
2728,0,Boonsri,11-Apr-98,Mercury,1
2730,0,Boonsri,11-Apr-98,Arsenic,1
4805,21,Kohsoom,16-Apr-98,Water temperature,0
4822,0.01,Kohsoom,16-Apr-98,Iron,0
4827,90,Kohsoom,16-Apr-98,Lead,1
4829,0,Kohsoom,16-Apr-98,Mercury,1
4831,0,Kohsoom,16-Apr-98,Arsenic,1
5166,21,Chai,17-Apr-98,Water temperature,0
5182,0.74,Chai,17-Apr-98,Iron,0
5187,30,Chai,17-Apr-98,Lead,1
5189,0,Chai,17-Apr-98,Mercury,1
5191,0,Chai,17-Apr-98,Arsenic,1
5650,21,Chai,17-Apr-98,Water temperature,0
5666,0.75,Chai,17-Apr-98,Iron,0
5671,41,Chai,17-Apr-98,Lead,1
5673,0,Chai,17-Apr-98,Mercury,1
5675,0,Chai,17-Apr-98,Arsenic,1
6128,21,Chai,17-Apr-98,Water temperature,0
6144,0.73,Chai,17-Apr-98,Iron,0
6149,55,Chai,17-Apr-98,Lead,1
6151,0,Chai,17-Apr-98,Mercury,1
6153,0,Chai,17-Apr-98,Arsenic,1
6489,20.5,Somchair,17-Apr-98,Water temperature,0
6506,9.2,Somchair,17-Apr-98,Iron,0
6511,41,Somchair,17-Apr-98,Lead,1
6513,0,Somchair,17-Apr-98,Mercury,1
6515,0,Somchair,17-Apr-98,Arsenic,1
8411,21,Kannika,18-Apr-98,Water temperature,0
8428,1.35,Kannika,18-Apr-98,Iron,0
8433,20,Kannika,18-Apr-98,Lead,1
8435,0,Kannika,18-Apr-98,Mercury,1
8437,0,Kannika,18-Apr-98,Arsenic,1
8892,21,Kannika,18-Apr-98,Water temperature,0
8909,1.14,Kannika,18-Apr-98,Iron,0
8914,20,Kannika,18-Apr-98,Lead,1
8916,0,Kannika,18-Apr-98,Mercury,1
8918,0,Kannika,18-Apr-98,Arsenic,1
9375,21,Kannika,18-Apr-98,Water temperature,0
9392,1.8,Kannika,18-Apr-98,Iron,0
9397,10,Kannika,18-Apr-98,Lead,1
9399,0,Kannika,18-Apr-98,Mercury,1
9401,0,Kannika,18-Apr-98,Arsenic,1
9864,21,Sakda,18-Apr-98,Water temperature,0
9881,1.37,Sakda,18-Apr-98,Iron,0
9886,15,Sakda,18-Apr-98,Lead,1
9888,0,Sakda,18-Apr-98,Mercury,1
9890,0,Sakda,18-Apr-98,Arsenic,1
2383,15,Boonsri,9-May-98,Water temperature,0
2400,2,Boonsri,9-May-98,Iron,0
2405,0,Boonsri,9-May-98,Lead,1
2407,0,Boonsri,9-May-98,Mercury,1
2409,0,Boonsri,9-May-98,Arsenic,1
2745,13,Boonsri,9-May-98,Water temperature,0
2762,1.85,Boonsri,9-May-98,Iron,0
2767,0,Boonsri,9-May-98,Lead,1
2769,0,Boonsri,9-May-98,Mercury,1
2771,0,Boonsri,9-May-98,Arsenic,1
5207,22,Chai,20-May-98,Water temperature,0
5223,0.12,Chai,20-May-98,Iron,0
5228,0,Chai,20-May-98,Lead,1
5230,0,Chai,20-May-98,Mercury,1
5232,0,Chai,20-May-98,Arsenic,1
5691,22,Chai,20-May-98,Water temperature,0
5707,0.09,Chai,20-May-98,Iron,0
5712,0,Chai,20-May-98,Lead,1
5714,0,Chai,20-May-98,Mercury,1
5716,0,Chai,20-May-98,Arsenic,1
6169,22,Chai,20-May-98,Water temperature,0
6185,0.16,Chai,20-May-98,Iron,0
6190,0,Chai,20-May-98,Lead,1
6192,0,Chai,20-May-98,Mercury,1
6194,0,Chai,20-May-98,Arsenic,1
8453,21,Kannika,26-May-98,Water temperature,0
8470,0.04,Kannika,26-May-98,Iron,0
8475,0,Kannika,26-May-98,Lead,1
8477,0,Kannika,26-May-98,Mercury,1
8479,0,Kannika,26-May-98,Arsenic,1
8934,21,Kannika,26-May-98,Water temperature,0
8951,0.05,Kannika,26-May-98,Iron,0
